User;CPRs;MPRs;Cts;Reviews;CI
Billolha;"-";"-";"-";"-";0
CGenie;"-";"-";"-";"-";0
Capriatto;"-";1;"-";"-";1
Drsmartinkus;1;"-";"-";"-";1
EcoloDevelopper;1;"-";"-";"-";1
EduardoJarsa;"-";"-";"-";1;1
Espzai;"-";"-";"-";"-";0
EvvFoxy;"-";"-";"-";1;1
FaTaToo;"-";"-";"-";"-";0
"Florian-Ch";"-";"-";"-";"-";0
Fuchur777;"-";"-";"-";"-";0
GiacoJona;"-";"-";"-";"-";0
Hazmi0a;"-";"-";"-";1;1
Highcooley;"-";"-";1;"-";1
HirenDangar;"-";"-";"-";"-";0
ITISAG;"-";"-";"-";"-";0
"ITISAG-OCA";"-";"-";"-";"-";0
IvanHRN;"-";"-";"-";1;1
