User;CPRs;MPRs;Cts;Reviews;CI
JonathanNEMRY;"-";"-";"-";"-";0
JuanjoA;1;"-";"-";"-";1
"KARIZMA-CONSEIL";"-";"-";"-";"-";0
KomarovAlea;"-";"-";"-";"-";0
LESTRAT21;"-";"-";"-";1;1
LeartS;"-";"-";"-";"-";0
Maralai;"-";"-";1;"-";1
MaxyMoos;"-";1;"-";"-";1
MirkosoftAssistenza;"-";"-";1;"-";1
Mohammadrezafah;1;"-";"-";"-";1
OKT96;"-";"-";1;"-";1
"Olivier-LAURENT";"-";"-";"-";"-";0
OsoTranquilo;"-";"-";"-";"-";0
P4R;1;"-";"-";"-";1
Rickyc81;"-";"-";1;"-";1
RodrigoBM;"-";"-";"-";"-";0
Ryoko04;1;"-";"-";"-";1
Shamsidinkhon;"-";1;"-";"-";1
SicurSam;"-";"-";"-";1;1
SilvioGregorini;"-";"-";"-";"-";0
SoniaViciana;"-";"-";1;"-";1
Tatider;1;"-";"-";"-";1
TimLai125;"-";"-";"-";"-";0
"Tonow-c2c";"-";"-";"-";"-";0
VishnuPrasad1998;"-";"-";"-";"-";0
"agent-z28";"-";"-";"-";"-";0
alexeirivera87;1;"-";"-";"-";1
alfredoavanzosc;1;"-";"-";"-";1
anajuaristi;"-";"-";"-";1;1
andreparames;"-";"-";"-";"-";0
andreschenkels;"-";"-";1;"-";1
andriusdaunoravicius;"-";"-";"-";"-";0
aoso3;"-";"-";"-";"-";0
apineux;"-";"-";"-";"-";0
archetipo;"-";"-";"-";"-";0
asaunier;"-";"-";"-";"-";0
"augusto-weiss";1;"-";"-";"-";1
baguenth;1;"-";"-";"-";1
bizzappdevteam;"-";"-";"-";1;1
bodedra;"-";"-";"-";"-";0
centrixsystems;"-";"-";1;"-";1
cesarlr;"-";"-";"-";"-";0
"chafique-delli";"-";"-";"-";"-";0
chusamo;"-";"-";"-";"-";0
cramosh;1;"-";"-";"-";1
csil300;1;"-";"-";"-";1
"dani-xtendoo";1;"-";"-";"-";1
daramousk;"-";"-";"-";"-";0
dhx;"-";1;"-";"-";1
"disna-sistemas";"-";"-";"-";"-";0
dnplkndll;"-";1;"-";"-";1
