User,CI,CPRs,MPRs,Cts,Reviews
alfredoavanzosc,5,6,(null),3,1
yaracchi,4,1,1,4,(null)
xaviedoanhduy,4,1,(null),1,2
victor-champonnois,4,2,1,2,(null)
vasanthr-cp,4,4,(null),4,(null)
vancouver29,4,(null),(null),1,3
TumbaoJu,4,(null),1,2,2
thomashaunschmid86,4,(null),(null),(null),4
TennyMkt,4,2,(null),3,1
TB-Ph35,4,(null),2,(null),2
Tardo,4,1,2,(null),1
takahii03,4,1,(null),2,2
stanislaw-ladorucki,4,3,1,1,(null)
siyabongasilindokuhle22-ux,4,1,(null),(null),3
SimaElisabeta,4,3,2,(null),(null)
sheragar,4,(null),(null),(null),4
sebinthomasst,4,(null),(null),(null),4
robperezit,4,2,(null),5,(null)
remytms,4,(null),(null),4,2
Raul-S73,4,(null),(null),3,2
PicchiSeba,4,1,1,1,1
phschmidt,4,(null),(null),(null),4
Paulius11,4,2,1,2,(null)
ozono,4,1,1,2,1
okawo80085,4,1,(null),10,(null)
odoowired,4,1,(null),3,1
nico-foodles,4,(null),(null),(null),4
Murtaza-SerpentCS,4,(null),(null),(null),4
mof-landoo,4,1,1,5,(null)
mkoeck,4,1,1,4,(null)
michelerusti,4,2,2,1,(null)
MDgrap,4,(null),(null),1,3
manuelcalerosolis,4,1,(null),2,2
maciej-wichowski,4,2,1,4,(null)
ljsalvatierra-factorlibre,4,(null),(null),(null),4
Liliputech,4,1,(null),2,2
lfrocharod6,4,1,(null),1,2
leNeo,4,3,(null),2,1
kevinkhao,4,1,2,(null),1
katyukha,4,2,1,2,(null)
jsmassa,4,(null),(null),3,2
JorgeQuinteros,4,1,1,1,1
joergsteffens,4,2,(null),7,(null)
JhonRomero26,4,1,(null),4,1
jcadhoc,4,3,(null),(null),2
Jan-Onestein,4,(null),(null),1,3
hitesh-erpharbor,4,9,(null),2,(null)
flachica,4,1,1,2,1
fd-oerp,4,1,(null),4,1
erickggo,4,3,1,2,(null)
emiliesoutiras,4,1,(null),2,2
DinhVanKhanh-HCMC,4,5,(null),2,(null)
Daemo00,4,(null),(null),4,2
cyrilfassiau,4,3,1,1,(null)
corredato,4,2,1,3,(null)
collinskipkorir,4,1,(null),1,2
clement-gouin,4,1,(null),4,1
chrisandrewmann,4,(null),(null),3,2
chetan137,4,1,1,6,(null)
ChanGuaZzz,4,3,1,1,(null)
apami0111,4,(null),3,1,(null)
Anushapadinharepurakkal,4,2,2,1,(null)
aneavanzosc,4,3,1,1,(null)
alvaroGC-S73,4,2,1,3,(null)
yessser,3,2,1,1,(null)
XtremXpert,3,(null),(null),(null),3
Webbeh,3,1,(null),3,(null)
vdewulf,3,1,1,1,(null)
Vandan-Pandeji-SerpentCS,3,1,(null),1,1
TheRealRoyalTS,3,(null),(null),1,2
temuccio,3,3,(null),1,(null)
TecnologiaIG,3,3,(null),1,(null)
susaglam,3,3,(null),2,(null)
simoneversienti,3,(null),(null),(null),3
siddolo,3,2,(null),2,(null)
rwagemans,3,(null),(null),(null),3
rodmad85,3,4,(null),2,(null)
rlizana,3,1,(null),1,1
Ricardo-MC,3,(null),2,1,(null)
remitoudic,3,2,(null),2,(null)
raulovallet,3,(null),(null),4,1
RaphaelVicini,3,2,(null),2,(null)
ramzeta,3,3,(null),1,(null)
Qlasta,3,4,(null),1,(null)
polchampion,3,(null),(null),1,2
patrickt-oforce,3,(null),(null),4,1
paseka10jaroslav-coder,3,(null),(null),(null),3
palomagrc93,3,1,(null),(null),2
oujbih,3,3,(null),2,(null)
np-oerp,3,(null),1,2,1
nguyenminhchien,3,3,(null),1,(null)
nayatec,3,(null),(null),4,1
muslimfoda-dot,3,3,(null),1,(null)
mpiko,3,2,(null),4,(null)
meetscs,3,10,(null),(null),(null)
Mauricio-ATS,3,1,1,1,(null)
matthieusaison,3,1,(null),(null),2
mathieudelva,3,1,1,(null),1
ManfredNelvin-Dev,3,2,(null),2,(null)
LuvForAirplanes,3,1,(null),4,(null)
llabusch93,3,2,(null),2,(null)
LixFerox,3,1,1,1,(null)
kirca,3,4,(null),2,(null)
Katulos,3,2,2,(null),(null)
JulioFabio,3,(null),2,(null),1
JuanjoA,3,(null),(null),2,2
jorge-luis-dev,3,(null),1,2,1
JohanEndare,3,1,1,1,(null)
JochenDeBie,3,5,(null),1,(null)
javiermatos,3,2,(null),3,(null)
javierjcf,3,(null),1,5,(null)
IVA-BO,3,2,2,(null),(null)
hugho-ad,3,(null),(null),(null),3
hhgabelgaard,3,3,(null),3,(null)
GuillermoNforgeflow,3,5,1,(null),(null)
guillermo2005200,3,1,1,(null),1
gal-adhoc,3,1,1,1,(null)
flachicasidoo,3,(null),(null),1,2
ferdymercury,3,(null),(null),3,1
espo-tony,3,(null),(null),1,2
ElhoucineBRAHIM,3,1,(null),(null),2
elemire,3,4,(null),1,(null)
EdnilsonMonteiro,3,1,(null),3,(null)
DucTruongKomit,3,(null),(null),(null),3
Dirbaio,3,2,(null),2,(null)
dhx,3,1,(null),3,(null)
Clara-Cardoso,3,1,(null),5,(null)
ChristianSantamaria,3,2,(null),(null),2
chandni299,3,(null),(null),1,2
cav-adhoc,3,4,(null),(null),1
bertstomphorst,3,1,1,2,(null)
baf-adhoc,3,(null),(null),(null),3
AxelPrel,3,1,1,2,(null)
atchuthan,3,(null),(null),(null),3
are-agilebg,3,2,1,(null),1
arch-fan,3,(null),(null),10,(null)
apineux,3,(null),(null),1,2
angelmoya,3,1,1,1,(null)
andyengit,3,3,(null),1,(null)
AndreMarcos,3,1,(null),1,1
AlvaroRamirez10,3,3,(null),2,(null)
AlisherKaziz,3,(null),(null),(null),3
Alexis-SDK,3,(null),(null),3,1
alexeirivera87,3,2,(null),2,(null)
alesisjoan,3,1,1,1,(null)
zolfariot,2,1,(null),1,(null)
ysantiago,2,1,1,(null),(null)
YoussefEgla,2,5,(null),(null),(null)
ygol,2,(null),1,(null),1
xAdrianCif,2,(null),(null),1,1
Wodran14,2,1,1,(null),(null)
Weltschmerz-dev,2,1,(null),1,(null)
Vicent-C6,2,(null),(null),3,(null)
uolaizola,2,2,(null),(null),1
trisdoan,2,1,(null),1,(null)
tom-kramer,2,(null),(null),(null),2
thomich,2,(null),(null),5,(null)
Thinh240900,2,3,(null),(null),(null)
tgaona-sbg,2,1,(null),2,(null)
tao-thewarat,2,(null),(null),(null),2
t-saeed,2,(null),(null),(null),2
